date,symbol_id,symbol_name,open,high,low,close
2025-09-22,7,MSFT,515.59,517.74,512.54,514.45
2025-09-19,7,MSFT,510.56,519.30,510.31,517.93
2025-09-18,7,MSFT,511.49,513.07,507.66,508.45
2025-09-17,7,MSFT,510.62,511.29,505.93,510.02
2025-09-16,7,MSFT,516.88,517.23,508.60,509.04
2025-09-15,7,MSFT,508.79,515.47,507.00,515.36
2025-09-12,7,MSFT,506.65,512.55,503.85,509.90
2025-09-11,7,MSFT,502.25,503.17,497.88,501.01
2025-09-10,7,MSFT,502.98,503.23,496.72,500.37
2025-09-09,7,MSFT,501.43,502.25,497.70,498.41
2025-09-08,7,MSFT,498.10,501.20,495.03,498.20
2025-09-05,7,MSFT,509.07,511.97,492.37,495.00
2025-09-04,7,MSFT,504.30,508.15,503.15,507.97
2025-09-03,7,MSFT,503.79,507.79,502.32,505.35
2025-09-02,7,MSFT,500.46,506.00,496.81,505.12
2025-08-29,7,MSFT,508.66,509.60,504.49,506.69
2025-08-28,7,MSFT,507.09,511.09,505.50,509.64
2025-08-27,7,MSFT,502.00,507.29,499.90,506.74
2025-08-26,7,MSFT,504.36,504.98,498.51,502.04
2025-08-25,7,MSFT,506.63,508.19,504.12,504.26
2025-08-22,7,MSFT,504.25,510.73,502.41,507.23
2025-08-21,7,MSFT,503.69,507.63,502.72,504.24
2025-08-20,7,MSFT,509.86,511.00,504.44,505.72
2025-08-19,7,MSFT,515.00,515.16,508.55,509.77
2025-08-18,7,MSFT,521.58,522.82,514.02,517.10
2025-08-15,7,MSFT,522.77,526.10,519.08,520.17
2025-08-14,7,MSFT,522.56,525.95,520.14,522.48
2025-08-13,7,MSFT,532.11,532.70,519.37,520.58
2025-08-12,7,MSFT,523.75,530.98,522.70,529.24
2026-01-02,8,GOOG,317.59,322.91,310.65,315.32
2025-12-31,8,GOOG,313.37,315.39,312.20,313.80
2025-12-30,8,GOOG,313.41,317.70,313.25,314.55
2025-12-29,8,GOOG,312.82,314.97,311.90,314.39
2025-12-26,8,GOOG,315.92,316.56,313.72,314.96
2025-12-24,8,GOOG,316.15,316.29,313.32,315.67
2025-12-23,8,GOOG,311.14,316.30,310.75,315.68
2025-12-22,8,GOOG,311.23,311.70,306.59,311.33
2025-12-19,8,GOOG,303.27,308.99,302.34,308.61
2025-12-18,8,GOOG,303.06,305.26,300.63,303.75
2025-12-17,8,GOOG,309.01,309.20,297.45,298.06
2025-12-16,8,GOOG,306.00,311.85,303.83,307.73
2025-12-15,8,GOOG,312.62,312.70,305.74,309.32
2025-12-12,8,GOOG,314.80,316.14,306.96,310.52
2025-12-11,8,GOOG,321.10,321.99,309.88,313.70
2025-12-10,8,GOOG,316.62,321.87,315.40,321.00
2025-12-09,8,GOOG,313.10,318.71,312.62,317.75
2025-12-08,8,GOOG,321.03,321.23,311.91,314.45
2025-12-05,8,GOOG,320.00,323.83,319.98,322.09
2025-12-04,8,GOOG,323.04,323.10,315.59,318.39
2025-12-03,8,GOOG,316.03,322.04,314.28,320.62
2025-12-02,8,GOOG,316.90,318.60,314.22,316.02
2025-12-01,8,GOOG,317.48,319.63,313.98,315.12
2025-11-28,8,GOOG,323.43,326.88,316.94,320.12
2025-11-26,8,GOOG,320.78,324.99,317.20,320.28
2025-11-25,8,GOOG,326.80,328.67,317.82,323.64
2025-11-24,8,GOOG,311.01,319.80,309.40,318.47
2025-11-21,8,GOOG,296.87,303.96,294.36,299.65
2025-11-20,8,GOOG,304.74,306.89,289.17,289.98
2025-11-19,8,GOOG,287.68,304.25,287.67,292.99
2025-11-18,8,GOOG,288.48,289.44,279.01,284.96
2025-11-17,8,GOOG,286.40,294.52,284.23,285.60
2025-11-14,8,GOOG,271.90,279.15,271.41,276.98
